date,action,ticker,price
2024-05-07,BUY,LQDT,1.392913998645
2024-05-10,SELL,LQDT,1.3960859691949998
2024-05-10,BUY,EQMX,155.80156579
2024-05-21,SELL,EQMX,155.3484387325
2024-05-21,BUY,LQDT,1.40101408005
2024-07-10,SELL,LQDT,1.4313856144300001
2024-07-10,BUY,GOLD,1.696517049825
2024-07-11,SELL,GOLD,1.714482769275
2024-07-11,BUY,LQDT,1.4322143936099998
2024-07-12,SELL,LQDT,1.434085587295
2024-07-12,BUY,GOLD,1.712517210625
2024-07-18,SELL,GOLD,1.737482538125
2024-07-18,BUY,LQDT,1.43661443783
2024-07-24,SELL,LQDT,1.44018552599
2024-07-24,BUY,OBLG,142.721434336
2024-07-25,SELL,OBLG,142.638566468
2024-07-25,BUY,LQDT,1.44081448004
2024-08-05,SELL,LQDT,1.447885448605
2024-08-05,BUY,OBLG,143.321440366
2024-08-19,SELL,OBLG,144.19855078999998
2024-08-19,BUY,LQDT,1.45761464888
2024-08-26,SELL,LQDT,1.46218530489
2024-08-26,BUY,GOLD,1.816518255825
2024-09-02,SELL,GOLD,1.8059818497
2024-09-02,BUY,LQDT,1.46661473933
2024-09-05,SELL,LQDT,1.4690852355450001
2024-09-05,BUY,GOLD,1.8120182106
2024-09-06,SELL,GOLD,1.821481693925
2024-09-06,BUY,LQDT,1.471314786565
2024-09-09,SELL,LQDT,1.472085205395
2024-09-09,BUY,GOLD,1.8280183714
2024-10-01,SELL,GOLD,2.045479442725
2024-10-01,BUY,LQDT,1.488514959425
2024-10-02,SELL,LQDT,1.4893850315300001
2024-10-02,BUY,GOLD,2.040020502
2024-10-28,SELL,GOLD,2.168478206575
2024-10-28,BUY,LQDT,1.50841515942
2024-12-27,SELL,LQDT,1.5595843260200002
2024-12-27,BUY,OBLG,147.121478556
2024-12-30,SELL,OBLG,149.238500138
2024-12-30,BUY,LQDT,1.56461572423
2025-01-10,SELL,LQDT,1.573484186325
2025-01-10,BUY,OBLG,150.04150790199998
2025-01-14,SELL,OBLG,150.418488279
2025-01-14,BUY,LQDT,1.57501582875
2025-01-23,SELL,LQDT,1.58318408884
2025-01-23,BUY,OBLG,151.561523178
2025-01-24,SELL,OBLG,151.938473003
2025-01-24,BUY,LQDT,1.5857159362850002
2025-01-27,SELL,LQDT,1.58638405668
2025-01-27,BUY,OBLG,151.441521972
2025-02-03,SELL,OBLG,152.738464963
2025-02-03,BUY,LQDT,1.592516004625
2025-02-05,SELL,LQDT,1.59438397628
2025-02-05,BUY,OBLG,152.42153182099997
2025-02-07,SELL,OBLG,152.738464963
2025-02-07,BUY,LQDT,1.597716056885
2025-02-10,SELL,LQDT,1.598483935075
2025-02-10,BUY,OBLG,153.10153865499998
2025-02-12,SELL,OBLG,153.618456119
2025-02-12,BUY,LQDT,1.600516085025
2025-06-13,SELL,LQDT,1.71578275621
2025-06-13,BUY,OBLG,170.20171051
2025-07-14,SELL,OBLG,174.898242255
2025-07-14,BUY,LQDT,1.743317520165
2025-07-15,SELL,LQDT,1.744082471795
2025-07-15,BUY,OBLG,175.54176417699998
2025-08-07,SELL,OBLG,180.57818517100003
2025-08-07,BUY,LQDT,1.7644177322199999
2025-08-08,SELL,LQDT,1.766882242655
2025-08-08,BUY,OBLG,180.70181603499998
2025-08-11,SELL,OBLG,181.05818034700002
2025-08-11,BUY,LQDT,1.76761776438
2025-08-21,SELL,LQDT,1.776482146175
2025-08-21,BUY,OBLG,182.40183312
2025-09-03,SELL,OBLG,182.79816286000002
2025-09-03,BUY,GOLD,2.3060231753
2025-09-29,SELL,GOLD,2.53697450315
2025-09-29,BUY,LQDT,1.8093181834649998
2025-09-30,SELL,LQDT,1.81018180749
2025-09-30,BUY,GOLD,2.5390255169500002
2025-10-08,SELL,GOLD,2.619973669
2025-10-08,BUY,LQDT,1.81681825884
2025-10-09,SELL,LQDT,1.8175817331200002
2025-10-09,BUY,GOLD,2.58302595915
2025-10-13,SELL,GOLD,2.623473633825
2025-10-13,BUY,LQDT,1.821118302055
2025-10-14,SELL,LQDT,1.821881689905
2025-10-14,BUY,GOLD,2.62502638125
2025-10-16,SELL,GOLD,2.768472176575
2025-10-16,BUY,LQDT,1.8236183271800002
2025-11-03,SELL,LQDT,1.83878152006
2025-11-03,BUY,OBLG,184.121850406
2025-11-05,SELL,OBLG,184.09814979499998
2025-11-05,BUY,LQDT,1.83961848798
