date,action,ticker,execution_price,market_price,quantity,quantity_signed,cash_balance,position_value,total_value
2023-02-08,SELL,LQDT,1.21,1.21,918568.25,-918568.25,1114212.08,0.00,1114212.08
2023-02-08,BUY,OBLG,134.90,134.90,8259.46,8259.46,0.00,1114200.89,1114200.89
2023-02-09,SELL,OBLG,134.68,134.68,8259.46,-8259.46,1112372.63,0.00,1112372.63
2023-02-09,BUY,LQDT,1.21,1.21,916504.45,916504.45,0.00,1112361.45,1112361.45
2023-02-10,SELL,LQDT,1.21,1.21,916504.45,-916504.45,1112716.87,0.00,1112716.87
2023-02-10,BUY,GOLD,1.14,1.14,979063.51,979063.51,0.00,1112705.68,1112705.68
2023-02-15,SELL,GOLD,1.14,1.14,979063.51,-979063.51,1116317.00,0.00,1116317.00
2023-02-15,BUY,LQDT,1.21,1.21,919072.76,919072.76,0.00,1116305.78,1116305.78
2023-03-09,SELL,LQDT,1.22,1.22,919072.76,-919072.76,1121625.13,0.00,1121625.13
2023-03-09,BUY,GOLD,1.16,1.16,968244.01,968244.01,0.00,1121613.86,1121613.86
2023-03-15,SELL,GOLD,1.21,1.21,968244.01,-968244.01,1172725.35,0.00,1172725.35
2023-03-15,BUY,LQDT,1.22,1.22,960296.08,960296.08,0.00,1172713.57,1172713.57
2023-03-16,SELL,LQDT,1.22,1.22,960296.08,-960296.08,1173181.93,0.00,1173181.93
2023-03-16,BUY,EQMX,95.80,95.80,12246.03,12246.03,0.00,1173170.14,1173170.14
2023-03-17,SELL,EQMX,98.30,98.30,12246.03,-12246.03,1203773.12,0.00,1203773.12
2023-03-17,BUY,GOLD,1.26,1.26,957417.50,957417.50,0.00,1203761.03,1203761.03
2023-03-20,SELL,GOLD,1.27,1.27,957417.50,-957417.50,1218301.53,0.00,1218301.53
2023-03-20,BUY,OBLG,135.44,135.44,8995.05,8995.05,0.00,1218289.28,1218289.28
2023-03-24,SELL,OBLG,135.42,135.42,8995.05,-8995.05,1218097.14,0.00,1218097.14
2023-03-24,BUY,LQDT,1.22,1.22,995492.73,995492.73,0.00,1218084.90,1218084.90
2023-03-27,SELL,LQDT,1.22,1.22,995492.73,-995492.73,1218271.76,0.00,1218271.76
2023-03-27,BUY,OBLG,135.56,135.56,8986.87,8986.87,0.00,1218259.51,1218259.51
2023-03-30,SELL,OBLG,136.28,136.28,8986.87,-8986.87,1224717.75,0.00,1224717.75
2023-03-30,BUY,GOLD,1.27,1.27,967381.86,967381.86,0.00,1224705.44,1224705.44
2023-04-04,SELL,GOLD,1.32,1.32,967381.86,-967381.86,1278865.97,0.00,1278865.97
2023-04-04,BUY,EQMX,105.25,105.25,12150.62,12150.62,0.00,1278853.12,1278853.12
2023-04-11,SELL,EQMX,106.80,106.80,12150.62,-12150.62,1297673.54,0.00,1297673.54
2023-04-11,BUY,OBLG,136.64,136.64,9496.93,9496.93,0.00,1297660.50,1297660.50
2023-04-12,SELL,OBLG,136.50,136.50,9496.93,-9496.93,1296317.90,0.00,1296317.90
2023-04-12,BUY,EQMX,107.45,107.45,12064.26,12064.26,0.00,1296304.87,1296304.87
2023-04-14,SELL,EQMX,108.05,108.05,12064.26,-12064.26,1303530.33,0.00,1303530.33
2023-04-14,BUY,OBLG,136.56,136.56,9545.38,9545.38,0.00,1303517.23,1303517.23
2023-04-19,SELL,OBLG,136.64,136.64,9545.38,-9545.38,1304267.75,0.00,1304267.75
2023-04-19,BUY,EQMX,109.85,109.85,11873.05,11873.05,0.00,1304254.64,1304254.64
2023-04-21,SELL,EQMX,111.55,111.55,11873.05,-11873.05,1324425.52,0.00,1324425.52
2023-04-21,BUY,GOLD,1.34,1.34,987483.01,987483.01,0.00,1324412.21,1324412.21
2023-04-24,SELL,GOLD,1.33,1.33,987483.01,-987483.01,1313339.20,0.00,1313339.20
2023-04-24,BUY,OBLG,137.24,137.24,9569.56,9569.56,0.00,1313326.00,1313326.00
2023-04-25,SELL,OBLG,137.24,137.24,9569.56,-9569.56,1313312.80,0.00,1313312.80
2023-04-25,BUY,EQMX,110.95,110.95,11836.86,11836.86,0.00,1313299.60,1313299.60
2023-05-03,SELL,EQMX,106.90,106.90,11836.86,-11836.86,1265347.61,0.00,1265347.61
2023-05-03,BUY,LQDT,1.23,1.23,1026890.84,1026890.84,0.00,1265334.89,1265334.89
2023-05-04,SELL,LQDT,1.23,1.23,1026890.84,-1026890.84,1266040.99,0.00,1266040.99
2023-05-04,BUY,OBLG,137.42,137.42,9212.84,9212.84,0.00,1266028.26,1266028.26
2023-05-10,SELL,OBLG,137.32,137.32,9212.84,-9212.84,1265094.27,0.00,1265094.27
2023-05-10,BUY,LQDT,1.23,1.23,1025270.73,1025270.73,0.00,1265081.55,1265081.55
2023-05-11,SELL,LQDT,1.23,1.23,1025270.73,-1025270.73,1265786.52,0.00,1265786.52
2023-05-11,BUY,OBLG,137.90,137.90,9178.93,9178.93,0.00,1265773.80,1265773.80
2023-06-15,SELL,OBLG,139.38,139.38,9178.93,-9178.93,1279345.75,0.00,1279345.75
2023-06-15,BUY,EQMX,122.80,122.80,10418.02,10418.02,0.00,1279332.89,1279332.89
2023-06-22,SELL,EQMX,121.65,121.65,10418.02,-10418.02,1267339.43,0.00,1267339.43
2023-06-22,BUY,OBLG,139.74,139.74,9069.18,9069.18,0.00,1267326.70,1267326.70
2023-06-29,SELL,OBLG,139.58,139.58,9069.18,-9069.18,1265862.91,0.00,1265862.91
2023-06-29,BUY,GOLD,1.36,1.36,927702.59,927702.59,0.00,1265850.19,1265850.19
2023-07-06,SELL,GOLD,1.44,1.44,927702.59,-927702.59,1334486.77,0.00,1334486.77
2023-07-06,BUY,EQMX,123.05,123.05,10844.97,10844.97,0.00,1334473.35,1334473.35
2023-07-13,SELL,EQMX,126.40,126.40,10844.97,-10844.97,1370790.22,0.00,1370790.22
2023-07-13,BUY,GOLD,1.45,1.45,947978.18,947978.18,0.00,1370776.45,1370776.45
2023-07-17,SELL,GOLD,1.46,1.46,947978.18,-947978.18,1384034.23,0.00,1384034.23
2023-07-17,BUY,EQMX,127.80,127.80,10829.58,10829.58,0.00,1384020.32,1384020.32
2023-07-18,SELL,EQMX,129.55,129.55,10829.58,-10829.58,1402957.99,0.00,1402957.99
2023-07-18,BUY,GOLD,1.48,1.48,946655.79,946655.79,0.00,1402943.89,1402943.89
2023-07-27,SELL,GOLD,1.47,1.47,946655.79,-946655.79,1388256.77,0.00,1388256.77
2023-07-27,BUY,EQMX,130.75,130.75,10617.54,10617.54,0.00,1388242.82,1388242.82
2023-07-28,SELL,EQMX,131.70,131.70,10617.54,-10617.54,1398315.42,0.00,1398315.42
2023-07-28,BUY,GOLD,1.48,1.48,942569.17,942569.17,0.00,1398301.37,1398301.37
2023-08-02,SELL,GOLD,1.52,1.52,942569.17,-942569.17,1430334.35,0.00,1430334.35
2023-08-02,BUY,EQMX,135.80,135.80,10532.55,10532.55,0.00,1430319.97,1430319.97
2023-08-04,SELL,EQMX,135.45,135.45,10532.55,-10532.55,1426619.24,0.00,1426619.24
2023-08-04,BUY,GOLD,1.54,1.54,926366.82,926366.82,0.00,1426604.91,1426604.91
2023-08-11,SELL,GOLD,1.58,1.58,926366.82,-926366.82,1461328.98,0.00,1461328.98
2023-08-11,BUY,EQMX,138.40,138.40,10558.63,10558.63,0.00,1461314.29,1461314.29
2023-08-17,SELL,EQMX,134.65,134.65,10558.63,-10558.63,1421705.14,0.00,1421705.14
2023-08-17,BUY,LQDT,1.26,1.26,1127967.99,1127967.99,0.00,1421690.85,1421690.85
2023-08-22,SELL,LQDT,1.26,1.26,1127967.99,-1127967.99,1422353.34,0.00,1422353.34
2023-08-22,BUY,EQMX,138.50,138.50,10269.60,10269.60,0.00,1422339.04,1422339.04
2023-08-30,SELL,EQMX,140.25,140.25,10269.60,-10269.60,1440296.36,0.00,1440296.36
2023-08-30,BUY,GOLD,1.55,1.55,928615.01,928615.01,0.00,1440281.89,1440281.89
2023-08-31,SELL,GOLD,1.54,1.54,928615.01,-928615.01,1432838.57,0.00,1432838.57
2023-08-31,BUY,EQMX,140.85,140.85,10172.70,10172.70,0.00,1432824.17,1432824.17
2023-09-07,SELL,EQMX,138.55,138.55,10172.70,-10172.70,1409412.80,0.00,1409412.80
2023-09-07,BUY,LQDT,1.27,1.27,1112917.43,1112917.43,0.00,1409398.64,1409398.64
2023-09-12,SELL,LQDT,1.27,1.27,1112917.43,-1112917.43,1411610.29,0.00,1411610.29
2023-09-12,BUY,GOLD,1.49,1.49,944843.44,944843.44,0.00,1411596.10,1411596.10
2023-09-13,SELL,GOLD,1.51,1.51,944843.44,-944843.44,1430478.59,0.00,1430478.59
2023-09-13,BUY,LQDT,1.27,1.27,1127503.91,1127503.91,0.00,1430464.22,1430464.22
2023-10-06,SELL,LQDT,1.28,1.28,1127503.91,-1127503.91,1442739.51,0.00,1442739.51
2023-10-06,BUY,EQMX,137.95,137.95,10458.32,10458.32,0.00,1442725.01,1442725.01
2023-10-09,SELL,EQMX,138.65,138.65,10458.32,-10458.32,1450031.26,0.00,1450031.26
2023-10-09,BUY,LQDT,1.28,1.28,1133534.00,1133534.00,0.00,1450016.69,1450016.69
2023-10-10,SELL,LQDT,1.28,1.28,1133534.00,-1133534.00,1451135.64,0.00,1451135.64
2023-10-10,BUY,EQMX,139.55,139.55,10398.57,10398.57,0.00,1451121.05,1451121.05
2023-10-11,SELL,EQMX,137.10,137.10,10398.57,-10398.57,1425630.22,0.00,1425630.22
2023-10-11,BUY,LQDT,1.28,1.28,1113240.58,1113240.58,0.00,1425615.89,1425615.89
2023-10-13,SELL,LQDT,1.28,1.28,1113240.58,-1113240.58,1427494.05,0.00,1427494.05
2023-10-13,BUY,EQMX,139.90,139.90,10203.57,10203.57,0.00,1427479.71,1427479.71
2023-10-20,SELL,EQMX,142.95,142.95,10203.57,-10203.57,1458585.94,0.00,1458585.94
2023-10-20,BUY,GOLD,1.56,1.56,934083.43,934083.43,0.00,1458571.28,1458571.28
2023-10-23,SELL,GOLD,1.55,1.55,934083.43,-934083.43,1443611.44,0.00,1443611.44
2023-10-23,BUY,EQMX,142.80,142.80,10109.22,10109.22,0.00,1443596.93,1443596.93
2023-11-01,SELL,EQMX,140.25,140.25,10109.22,-10109.22,1417804.17,0.00,1417804.17
2023-11-01,BUY,LQDT,1.29,1.29,1099147.16,1099147.16,0.00,1417789.92,1417789.92
2023-11-03,SELL,LQDT,1.29,1.29,1099147.16,-1099147.16,1419754.11,0.00,1419754.11
2023-11-03,BUY,EQMX,140.35,140.35,10115.71,10115.71,0.00,1419739.85,1419739.85
2023-11-07,SELL,EQMX,142.15,142.15,10115.71,-10115.71,1437933.67,0.00,1437933.67
2023-11-07,BUY,OBLG,136.52,136.52,10532.66,10532.66,0.00,1437919.22,1437919.22
2023-11-09,SELL,OBLG,136.88,136.88,10532.66,-10532.66,1441696.49,0.00,1441696.49
2023-11-09,BUY,LQDT,1.29,1.29,1114300.51,1114300.51,0.00,1441682.00,1441682.00
2023-11-13,SELL,LQDT,1.30,1.30,1114300.51,-1114300.51,1443784.66,0.00,1443784.66
2023-11-13,BUY,OBLG,136.98,136.98,10540.01,10540.01,0.00,1443770.15,1443770.15
2023-11-14,SELL,OBLG,136.54,136.54,10540.01,-10540.01,1439118.09,0.00,1439118.09
2023-11-14,BUY,LQDT,1.30,1.30,1110333.79,1110333.79,0.00,1439103.62,1439103.62
2023-11-15,SELL,LQDT,1.30,1.30,1110333.79,-1110333.79,1439755.35,0.00,1439755.35
2023-11-15,BUY,OBLG,136.68,136.68,10533.66,10533.66,0.00,1439740.88,1439740.88
2023-11-16,SELL,OBLG,136.40,136.40,10533.66,-10533.66,1436777.02,0.00,1436777.02
2023-11-16,BUY,LQDT,1.30,1.30,1107587.56,1107587.56,0.00,1436762.58,1436762.58
2023-12-05,SELL,LQDT,1.31,1.31,1107587.56,-1107587.56,1447491.63,0.00,1447491.63
2023-12-05,BUY,GOLD,1.54,1.53,942981.81,942981.81,0.00,1447477.08,1447477.08
2023-12-08,SELL,GOLD,1.51,1.51,942981.81,-942981.81,1427660.12,0.00,1427660.12
2023-12-08,BUY,LQDT,1.31,1.31,1090222.05,1090222.05,0.00,1427645.77,1427645.77
2023-12-22,SELL,LQDT,1.32,1.32,1090222.05,-1090222.05,1435808.01,0.00,1435808.01
2023-12-22,BUY,GOLD,1.54,1.54,931728.47,931728.47,0.00,1435793.58,1435793.58
2023-12-25,SELL,GOLD,1.54,1.54,931728.47,-931728.47,1437642.58,0.00,1437642.58
2023-12-25,BUY,LQDT,1.32,1.32,1091096.04,1091096.04,0.00,1437628.14,1437628.14
2023-12-28,SELL,LQDT,1.32,1.32,1091096.04,-1091096.04,1439468.53,0.00,1439468.53
2023-12-28,BUY,OBLG,138.30,138.30,10408.20,10408.20,0.00,1439454.07,1439454.07
2024-01-04,SELL,OBLG,139.46,139.46,10408.20,-10408.20,1451512.99,0.00,1451512.99
2024-01-04,BUY,EQMX,140.15,140.15,10356.75,10356.75,0.00,1451498.40,1451498.40
2024-01-05,SELL,EQMX,140.30,140.30,10356.75,-10356.75,1453037.31,0.00,1453037.31
2024-01-05,BUY,GOLD,1.53,1.53,952177.40,952177.40,0.00,1453022.71,1453022.71
2024-01-08,SELL,GOLD,1.52,1.52,952177.40,-952177.40,1448247.27,0.00,1448247.27
2024-01-08,BUY,OBLG,139.30,139.30,10396.50,10396.50,0.00,1448232.71,1448232.71
2024-01-10,SELL,OBLG,138.94,138.94,10396.50,-10396.50,1444475.45,0.00,1444475.45
2024-01-10,BUY,LQDT,1.33,1.33,1089419.22,1089419.22,0.00,1444460.94,1444460.94
2024-01-11,SELL,LQDT,1.33,1.33,1089419.22,-1089419.22,1445209.01,0.00,1445209.01
2024-01-11,BUY,EQMX,142.35,142.35,10152.40,10152.40,0.00,1445194.48,1445194.48
2024-02-08,SELL,EQMX,144.35,144.35,10152.40,-10152.40,1465484.56,0.00,1465484.56
2024-02-08,BUY,LQDT,1.34,1.34,1091841.63,1091841.63,0.00,1465469.83,1465469.83
2024-02-12,SELL,LQDT,1.34,1.34,1091841.63,-1091841.63,1467311.21,0.00,1467311.21
2024-02-12,BUY,EQMX,145.15,145.15,10108.83,10108.83,0.00,1467296.47,1467296.47
2024-02-19,SELL,EQMX,144.80,144.80,10108.83,-10108.83,1463743.67,0.00,1463743.67
2024-02-19,BUY,LQDT,1.35,1.35,1085530.23,1085530.23,0.00,1463728.96,1463728.96
2024-02-20,SELL,LQDT,1.35,1.35,1085530.23,-1085530.23,1464474.11,0.00,1464474.11
2024-02-20,BUY,GOLD,1.53,1.53,959671.95,959671.95,0.00,1464459.39,1464459.39
2024-02-21,SELL,GOLD,1.52,1.52,959671.95,-959671.95,1463485.01,0.00,1463485.01
2024-02-21,BUY,LQDT,1.35,1.35,1084293.03,1084293.03,0.00,1463470.30,1463470.30
2024-02-22,SELL,LQDT,1.35,1.35,1084293.03,-1084293.03,1465949.45,0.00,1465949.45
2024-02-22,BUY,GOLD,1.54,1.54,954384.58,954384.58,0.00,1465934.71,1465934.71
2024-02-26,SELL,GOLD,1.53,1.53,954384.58,-954384.58,1457330.61,0.00,1457330.61
2024-02-26,BUY,LQDT,1.35,1.35,1077497.94,1077497.94,0.00,1457315.96,1457315.96
2024-02-27,SELL,LQDT,1.35,1.35,1077497.94,-1077497.94,1457732.31,0.00,1457732.31
2024-02-27,BUY,GOLD,1.53,1.53,951202.39,951202.39,0.00,1457717.66,1457717.66
2024-02-28,SELL,GOLD,1.53,1.53,951202.39,-951202.39,1452947.04,0.00,1452947.04
2024-02-28,BUY,LQDT,1.35,1.35,1073383.90,1073383.90,0.00,1452932.44,1452932.44
2024-02-29,SELL,LQDT,1.35,1.35,1073383.90,-1073383.90,1453669.20,0.00,1453669.20
2024-02-29,BUY,GOLD,1.53,1.53,950722.43,950722.43,0.00,1453654.59,1453654.59
2024-03-04,SELL,GOLD,1.57,1.57,950722.43,-950722.43,1497372.77,0.00,1497372.77
2024-03-04,BUY,LQDT,1.36,1.36,1103839.09,1103839.09,0.00,1497357.73,1497357.73
2024-03-06,SELL,LQDT,1.36,1.36,1103839.09,-1103839.09,1498556.89,0.00,1498556.89
2024-03-06,BUY,GOLD,1.59,1.59,943072.26,943072.26,0.00,1498541.83,1498541.83
2024-04-22,SELL,GOLD,1.77,1.77,943072.26,-943072.26,1671107.26,0.00,1671107.26
2024-04-22,BUY,EQMX,155.20,155.20,10767.34,10767.34,0.00,1671090.46,1671090.46
2024-04-26,SELL,EQMX,154.40,154.40,10767.34,-10767.34,1662459.89,0.00,1662459.89
2024-04-26,BUY,GOLD,1.75,1.75,948341.80,948341.80,0.00,1662443.18,1662443.18
2024-04-27,SELL,GOLD,1.77,1.77,948341.80,-948341.80,1678548.12,0.00,1678548.12
2024-04-27,BUY,LQDT,1.39,1.39,1209577.90,1209577.90,0.00,1678531.25,1678531.25
2024-04-29,SELL,LQDT,1.39,1.39,1209577.90,-1209577.90,1679240.12,0.00,1679240.12
2024-04-29,BUY,EQMX,155.45,155.45,10802.34,10802.34,0.00,1679223.25,1679223.25
2024-05-02,SELL,EQMX,154.35,154.35,10802.34,-10802.34,1667323.92,0.00,1667323.92
2024-05-02,BUY,LQDT,1.39,1.39,1199501.56,1199501.56,0.00,1667307.16,1667307.16
